manufactor,Year,model,Hand,Gear,capacity_Engine,Engine_type,City,Price,Km,Region
יונדאי,2015,i35,2,אוטומטית,1600.0,בנזין,רעננה,51000.0,144000.0,מרכז
ניסאן,2018, מיקרה,1,אוטומטית,1200.0,בנזין,אבן יהודה,49000.0,69000.0,מרכז
סוזוקי,2010, סוויפט,1,אוטומטית,1450.0,בנזין,רמת,22500.0,145000.0,מרכז
טויוטה,2016,אוריס,1,טיפטרוניק,1600.0,בנזין,רחובות,63000.0,27300.0,מרכז
קיה,2012,פיקנטו,1,אוטומטית,1248.0,בנזין,ראשון לציון,37000.0,70000.0,מרכז
אאודי,2015, A1,3,אוטומטית,1400.0,בנזין,פתח תקווה,60000.0,120000.0,מרכז
סובארו,2009,אימפרזה,3,ידנית,2400.0,בנזין,ירכא,95000.0,125000.0,מזרח
מיצובישי,2018,ASX,1,אוטומטית,2000.0,בנזין,בית דגן,90000.0,102000.0,מרכז
מרצדס,2015,220,1,אוטומטית,2200.0,דיזל,חיפה,70000.0,120000.0,צפון
ב.מ.וו,2003,525,3,אוטומטית,2500.0,דיזל,בת ים,45000.0,211589.83484346606,מרכז
אופל,2017,מוקה,2,אוטומטית,1400.0,בנזין,חולון,65000.0,118000.0,מרכז
קיה,2013,פורטה,4,אוטומטית,1500.0,בנזין,ירושלים,22000.0,199000.0,מרכז
סוזוקי,2008, סוויפט,3,אוטומטית,1500.0,בנזין,עזריה,19500.0,176600.0,מרכז
אאודי,2014, Q3,4,אוטומטית,2000.0,בנזין,כרמיאל,77500.0,169000.0,צפון
קיה,2015,פיקנטו,2,אוטומטית,1200.0,בנזין,חיפה,45000.0,96000.0,צפון
הונדה,2007,CIVIC,3,אוטומטית,1800.0,בנזין,קרית יערים,23000.0,170000.0,מרכז
סוזוקי,2016, SX4 קרוסאובר,2,אוטומטית,1600.0,בנזין,רמת,58000.0,77000.0,מרכז
טויוטה,2015,קורולה,2,אוטומטית,1600.0,בנזין,באר שבע,62000.0,120000.0,דרום
פולקסווגן,2008,גולף,3,אוטומטית,1595.0,בנזין,עומר,21000.0,149000.0,דרום
פולקסווגן,2007,פאסאט,3,אוטומטית,2000.0,בנזין,ריינה,20000.0,170000.0,צפון
שברולט,2017,ספארק,1,אוטומטית,1400.0,בנזין,חולון,50000.0,68000.0,מרכז
מאזדה,2015, 3,4,אוטומטית,1500.0,בנזין,נהריה,43000.0,152000.0,צפון
טויוטה,2014,קורולה,3,אוטומטית,1600.0,בנזין,באר שבע,46000.0,190000.0,דרום
ניסאן,2013, נוט,5,אוטומטית,1100.0,בנזין,ירושלים,23900.0,150.0,מרכז
קיה,2011,סול,2,טיפטרוניק,1600.0,דיזל,שדרות,32000.0,182000.0,דרום
קיה,2013,פיקנטו,4,ידנית,1000.0,בנזין,בית שמש,23000.0,76000.0,מזרח
